Player,Year,Season,Date,Age,Team,Location,Opponent,Win,PTS_TM,PTS_OPP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Michael Jordan,1987-1988,Regular,4/3/1988,25-046,CHI,Away,DET,W ,112,110,1,42:00:00,21,27,0.778,0,1,0,17,19,0.895,2,2,4,6,2,2,1,4,59,54.7
Michael Jordan,1987-1988,Regular,4/5/1988,25-048,CHI,Home,WSB,L ,94,105,1,42:00:00,12,20,0.6,0,1,0,5,8,0.625,1,2,3,1,4,2,6,4,29,18.4
Michael Jordan,1987-1988,Regular,4/6/1988,25-049,CHI,Away,MIL,W ,119,110,1,44:00:00,12,22,0.545,0,0,,13,13,1,1,5,6,6,3,1,5,5,37,29.5
Michael Jordan,1987-1988,Regular,4/8/1988,25-051,CHI,Home,NYK,W ,131,122,1,43:00:00,13,24,0.542,0,0,,14,18,0.778,3,3,6,3,8,1,3,4,40,36
Michael Jordan,1987-1988,Regular,4/14/1988,25-057,CHI,Away,IND,W ,116,110,1,38:00:00,12,28,0.429,0,2,0,11,12,0.917,2,4,6,3,3,1,2,3,35,25
Michael Jordan,1987-1988,Regular,4/15/1988,25-058,CHI,Away,NJN,W ,100,99,1,39:00:00,11,20,0.55,0,0,,6,8,0.75,0,0,0,4,2,0,3,5,28,17.4
Michael Jordan,1987-1988,Regular,4/17/1988,25-060,CHI,Home,MIL,W ,105,97,1,38:00:00,17,29,0.586,0,1,0,10,14,0.714,1,2,3,6,4,3,2,4,44,36.9
Michael Jordan,1987-1988,Regular,4/19/1988,25-062,CHI,Away,NYK,W ,121,118,1,40:00:00,18,27,0.667,0,2,0,11,13,0.846,3,2,5,2,2,1,6,4,47,33.7
Michael Jordan,1987-1988,Regular,4/21/1988,25-064,CHI,Away,BOS,L ,119,126,1,41:00:00,17,33,0.515,0,2,0,5,6,0.833,3,0,3,8,2,1,4,5,39,26.7
Michael Jordan,1987-1988,Regular,4/22/1988,25-065,CHI,Home,CLE,L ,103,107,1,42:00:00,12,26,0.462,0,0,,2,2,1,1,0,1,7,4,1,2,5,26,18.9
Michael Jordan,1987-1988,Regular,4/24/1988,25-067,CHI,Home,BOS,W ,115,108,1,44:00:00,16,25,0.64,0,1,0,14,15,0.933,0,6,6,6,1,1,3,3,46,38
Michael Jordan,1988-1989,Regular,11/4/1988,25-261,CHI,Home,DET,L ,94,107,1,43:00:00,10,19,0.526,0,2,0,8,12,0.667,1,4,5,7,5,2,2,5,28,26.3
Michael Jordan,1988-1989,Regular,11/5/1988,25-262,CHI,Away,WSB,W ,111,98,1,39:00:00,9,21,0.429,0,0,,11,12,0.917,0,2,2,7,3,0,5,4,29,19.4
Michael Jordan,1988-1989,Regular,11/8/1988,25-265,CHI,Away,NYK,L ,117,126,1,39:00:00,13,21,0.619,2,3,0.667,3,3,1,2,1,3,9,2,0,4,5,31,25.5
